NomStation,NumeroStation,En_service,MiseEnService,Rue,NoRue,Commune,LocationsEn2016,LocationsEn2019
SELLIER,255,oui,2013,ALL HENRI SELLIER,1,Toulouse,3378,6589
CAPTAINERIE PORT  - ST SAUVEUR,101,oui,2008,PORT SAINT SAUVEUR,5,Toulouse,30068,26419
PLACE DUPUY,43,oui,2007,PL DOMINIQUE MARTIN DUPUY,14,Toulouse,35146,32844
VERDIER - GRAND ROND,65,oui,2007,ALL FORAIN FRANCOIS VERDIER,2,Toulouse,17567,15451
LASCROSSES -  LECLERC,87,oui,2008,BD LASCROSSES,47,Toulouse,24804,19339
SEJOURNE - CATALANS,82,oui,2007,AV PAUL SEJOURNE,1,Toulouse,30805,29208
MERLY -  ARCOLE,57,oui,2007,RUE MERLY,15,Toulouse,21995,19667
BERALDI,33,oui,2007,RUE HENRI BERALDI,11,Toulouse,11863,9753
SALENQUES,31,oui,2007,RUE DES SALENQUES,7,Toulouse,25797,22269
PLACE SAINT JULIEN,53,oui,2007,PL SAINT JULIEN,0,Toulouse,23806,19830
STRASBOURG - JAURES,18,oui,2007,BD DE STRASBOURG,4,Toulouse,40602,34029
LOIS,6,oui,2007,RUE DES LOIS,5,Toulouse,4839,27994
BARRIERE DE PARIS,125,oui,2008,BRE DE PARIS,0,Toulouse,16780,18715
ESPACE SAINT GEORGES,8,oui,2007,RUE PAUL VIDAL,19,Toulouse,26973,23141
PLACE LANGE,79,oui,2007,PL LANGE,1,Toulouse,8763,9517
PLACE INT ST CYPRIEN DARRE,78,oui,2008,PL INTERIEURE ST CYPRIEN,14,Toulouse,38713,37028
ST AUBIN  - CAMICHEL,41,oui,2008,RUE CHARLES CAMICHEL,1,Toulouse,36731,28376
ROQUELAINE,60,oui,2008,PL ROQUELAINE,32,Toulouse,23566,23682
PLACE JEANNE D'ARC,35,oui,2007,RUE RAYMOND IV,1,Toulouse,18099,22939
BRIENNE  -  PASSERELLE,106,oui,2008,ALL DE BRIENNE,99,Toulouse,20097,17761
SEMARD -  GARE ROUTIERE,94,oui,2008,BD PIERRE SEMARD,73,Toulouse,24056,20031
